Awake WH,REM WH,Light WH,Deep WH,BPM WH,HRV (ms) WH,Score WH
1.84,0.75,2.18,0.52,69,37,62
1.58,0.69,2.76,0.92,69,45,58
1.02,0.87,2.43,0.72,62,42,64
1.35,0.34,2.21,0.7,68,47,62
1.36,0.51,2.57,0.96,61,44,50
