Awake WH,REM WH,Light WH,Deep WH,BPM WH,HRV (ms) WH,Score WH
0.25,1.66,3.53,1.68,54,62,91
0.48,1.56,4.95,1.8,47,64,86
0.39,2.37,4.75,2.02,51,78,88
0.34,2.1,3.82,1.93,48,66,93
0.16,2.21,3.77,1.79,53,68,96
